# Finding vocabulary, one term per row. Case-folded substring match on word
# boundaries. corpus=1 means the term was seen in the actual training reports.
#
# Review guide: a term here should name the STRUCTURE or the ABNORMALITY, not
# the severity. Severity and negation live in cues.csv. Terms that would match a
# healthy mention ("meniscus") are fine — the cue engine decides polarity.
finding,language,term,corpus
ACL,en,anterior cruciate,1
ACL,en,acl,1
ACL,es,cruzado anterior,1
ACL,es,lca,0
ACL,tr,ön çapraz,1
ACL,tr,acl,0
ACL,de,vorderes kreuzband,0
ACL,de,vorderen kreuzband,0
ACL,de,vkb,0
ACL,de,acl,1
ACL,nl,voorste kruisband,1
ACL,fr,croisé antérieur,0
ACL,hr,prednji križni,1
ACL,hr,prednjeg križnog,1
ACL,bs,prednji križni,0
ACL,el,πρόσθιος χιαστός,0
ACL,el,πρόσθιου χιαστού,0
ACL,bg,предна кръстна,1
ACL,bg,предната кръстна,0
MCL,en,medial collateral,1
MCL,en,mcl,1
MCL,es,colateral medial,1
MCL,es,colateral interno,0
MCL,tr,iç yan bağ,0
MCL,tr,medial kollateral,1
MCL,de,innenband,0
MCL,de,mediales kollateralband,0
MCL,de,medialen kollateralband,0
MCL,de,mcl,1
MCL,nl,mediale collateraal,1
MCL,nl,mediale collaterale,0
MCL,fr,collatéral médial,0
MCL,hr,medijalni kolateralni,1
MCL,hr,medijalnog kolateralnog,1
MCL,el,έσω πλάγιος,0
MCL,el,έσω πλαγίου,0
MCL,bg,медиален колатерален,1
Medial Meniscus,en,medial meniscus,1
Medial Meniscus,es,menisco medial,1
Medial Meniscus,es,menisco interno,0
Medial Meniscus,tr,medial menisküs,1
Medial Meniscus,de,innenmeniskus,1
Medial Meniscus,de,medialer meniskus,0
Medial Meniscus,de,medialen meniskus,0
Medial Meniscus,nl,mediale meniscus,1
Medial Meniscus,fr,ménisque interne,0
Medial Meniscus,fr,ménisque médial,0
Medial Meniscus,hr,medijalni menisk,1
Medial Meniscus,hr,medijalnog meniska,1
Medial Meniscus,bs,medijalni menisk,0
Medial Meniscus,el,έσω μηνίσκ,1
Medial Meniscus,bg,медиалния менискус,1
Medial Meniscus,bg,медиален менискус,0
Lateral Meniscus,en,lateral meniscus,1
Lateral Meniscus,es,menisco lateral,1
Lateral Meniscus,es,menisco externo,0
Lateral Meniscus,tr,lateral menisküs,1
Lateral Meniscus,de,außenmeniskus,1
Lateral Meniscus,de,aussenmeniskus,0
Lateral Meniscus,de,lateraler meniskus,0
Lateral Meniscus,nl,laterale meniscus,1
Lateral Meniscus,fr,ménisque externe,0
Lateral Meniscus,hr,lateralni menisk,1
Lateral Meniscus,hr,lateralnog meniska,1
Lateral Meniscus,el,έξω μηνίσκ,1
Lateral Meniscus,bg,латералния менискус,1
Lateral Meniscus,bg,латерален менискус,0
Medial OA,en,medial compartment,1
Medial OA,en,medial tibiofemoral,0
Medial OA,es,compartimento medial,0
Medial OA,es,femorotibial medial,0
Medial OA,es,femorotibial interno,0
Medial OA,tr,medial femorotibial,0
Medial OA,tr,medial kompartman,0
Medial OA,de,mediales kompartiment,0
Medial OA,de,medialen kompartiment,1
Medial OA,de,medialen femorotibial,0
Medial OA,nl,mediaal femorotibiaal,1
Medial OA,nl,mediale femorotibiale,0
Medial OA,fr,fémoro-tibial interne,0
Medial OA,hr,medijalnom odjeljku,0
Medial OA,el,έσω μηριαίας κνημιαίας,0
Medial OA,bg,медиалния компартмент,0
Lateral OA,en,lateral compartment,1
Lateral OA,en,lateral tibiofemoral,0
Lateral OA,es,compartimento lateral,0
Lateral OA,es,femorotibial lateral,0
Lateral OA,es,femorotibial externo,0
Lateral OA,tr,lateral femorotibial,0
Lateral OA,tr,lateral kompartman,0
Lateral OA,de,laterales kompartiment,0
Lateral OA,de,lateralen kompartiment,1
Lateral OA,nl,lateraal femorotibiaal,0
Lateral OA,nl,laterale femorotibiale,0
Lateral OA,fr,fémoro-tibial externe,0
Lateral OA,hr,lateralnom odjeljku,0
Lateral OA,bg,латералния компартмент,0
PF OA,en,patellofemoral,1
PF OA,en,patello-femoral,0
PF OA,en,retropatellar,0
PF OA,en,chondromalacia,1
PF OA,es,patelofemoral,1
PF OA,es,femoropatelar,0
